species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Dasyprocta fuliginosa,Rodentia,Dasyproctidae,3500.02,,,,,,140.0,1.0,-1.56,-69.46,Dasyprocta fuliginosa,592588,False
Dasyprocta guamara,Rodentia,Dasyproctidae,2650.03,,,,,,140.0,1.0,9.32,-61.47,Dasyprocta guamara,3609679,False
Dasyprocta kalinowskii,Rodentia,Dasyproctidae,2650.03,,,,,,140.0,1.0,-13.18,-70.6,Dasyprocta kalinowskii,3609683,False
Dasyprocta leporina,Rodentia,Dasyproctidae,3009.99,106.39,1.4,,213.6,49.69,140.0,1.0,-6.31,-55.99,Dasyprocta leporina,462286,False
Dasyprocta mexicana,Rodentia,Dasyproctidae,4999.99,,,,,,140.0,1.0,18.07,-94.97,Dasyprocta mexicana,3609677,False
Dasyprocta prymnolopha,Rodentia,Dasyproctidae,2900.0,,1.5,,,,140.0,1.0,-9.63,-42.21,Dasyprocta prymnolopha,3609678,False
Dasyprocta punctata,Rodentia,Dasyproctidae,2309.12,107.65,1.25,,120.0,17.44,140.0,1.0,-1.57,-75.35,Dasyprocta punctata,848914,False
Dasyprocta ruatanica,Rodentia,Dasyproctidae,,,,,,,140.0,1.0,16.35,-86.42,Dasyprocta ruatanica,3609676,False
Dasypus hybridus,Cingulata,Dasypodidae,1500.0,126.4,8.36,,,,,2.0,-25.4,-59.08,Dasypus hybridus,4119193,False
Dasypus kappleri,Cingulata,Dasypodidae,9702.83,,4.47,,,,,2.0,-3.08,-62.21,Dasypus kappleri,905104,False
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,134.0,3.96,0.04,180.0,20.37,136.87,2.0,4.48,-71.74,Dasypus novemcinctus,796672,False
Dasypus pilosus,Cingulata,Dasypodidae,4444.98,,,,,,,2.0,-9.66,-76.63,Dasypus pilosus,4119194,False
Dasypus sabanicola,Cingulata,Dasypodidae,1150.01,91.24,4.0,,,280.0,,3.0,6.04,-67.67,Dasypus sabanicola,4119191,False
Eumops patagonicus,Chiroptera,Molossidae,,,,,,,,,-26.86,-58.98,Eumops patagonicus,839631,False
Eumops perotis,Chiroptera,Molossidae,50.97,,0.99,,,,,3.0,3.99,-78.6,Eumops perotis,301606,False
Eumops trumbulli,Chiroptera,Molossidae,,,,,,,,,-3.4,-65.11,Eumops trumbulli,3614008,False
Eumops underwoodi,Chiroptera,Molossidae,58.67,,1.0,,,,,3.0,22.63,-99.82,Eumops underwoodi,446280,False
Euneomys chinchilloides,Rodentia,Cricetidae,75.57,,,,,,,,-53.46,-69.23,Euneomys chinchilloides,644642,False
Euneomys fossor,Rodentia,Cricetidae,83.0,,,,,,,,,,Euneomys fossor,3608228,False
Euneomys mordax,Rodentia,Cricetidae,81.99,,,,,,,,-36.05,-70.5,Euneomys mordax,829500,False
Euneomys petersoni,Rodentia,Cricetidae,83.0,,,,,,,,-45.98,-72.46,Euneomys petersoni,3608229,False
Euoticus elegantulus,Primates,Galagidae,295.48,133.45,0.99,,180.0,16.47,,2.0,-0.26,13.54,Euoticus elegantulus,323064,False
Euoticus pallidus,Primates,Galagidae,277.37,,,,,,,,4.89,11.14,Euoticus pallidus,3607501,False
Eupetaurus cinereus,Rodentia,Sciuridae,,,,,,,,1.0,31.69,80.71,Eupetaurus cinereus,675200,False
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,64.66,1.73,0.65,225.96,1.77,28.0,2.0,-16.24,-50.43,Euphractus sexcinctus,292508,False
Eupleres goudotii,Carnivora,Eupleridae,2763.34,93.86,1.0,,,,62.99,2.0,-18.76,47.44,Eupleres goudotii,527114,False
Euroscaptor grandis,Soricomorpha,Talpidae,,,,,,,,3.0,28.99,100.97,Euroscaptor grandis,3614253,False
Euroscaptor klossi,Soricomorpha,Talpidae,,34.99,4.5,,,,,3.0,12.38,103.41,Euroscaptor klossi,5827939,False
Euroscaptor longirostris,Soricomorpha,Talpidae,,,,,,,,3.0,27.8,109.2,Euroscaptor longirostris,293562,False
Euroscaptor micrura,Soricomorpha,Talpidae,60.46,,,,36.0,,,3.0,26.32,91.74,Euroscaptor micrura,586867,False
Euroscaptor mizura,Soricomorpha,Talpidae,25.05,40.0,3.0,,36.0,,,3.0,37.68,137.18,Euroscaptor mizura,201752,False
Euroscaptor parvidens,Soricomorpha,Talpidae,,,,,,,,3.0,16.94,106.82,Euroscaptor parvidens,3614252,False
Euryzygomatomys spinosus,Rodentia,Echimyidae,187.49,,0.97,,,,,,-22.94,-47.97,Euryzygomatomys spinosus,504978,False
Exilisciurus concinnus,Rodentia,Sciuridae,27.72,,1.94,,,,,,9.07,124.19,Exilisciurus concinnus,724376,False
Connochaetes taurinus,Artiodactyla,Bovidae,198619.68,251.49,0.98,,258.0,7.99,256.32,1.0,-15.63,26.5,Connochaetes taurinus,19028,False
Cormura brevirostris,Chiroptera,Emballonuridae,9.26,,,,,,,3.0,0.76,-66.97,Cormura brevirostris,75171,False
Corynorhinus mexicanus,Chiroptera,Vespertilionidae,,,,,,,,,24.6,-98.25,Corynorhinus mexicanus,226087,False
Corynorhinus rafinesquii,Chiroptera,Vespertilionidae,9.15,55.27,1.0,,121.2,,21.0,3.0,32.8,-85.51,Corynorhinus rafinesquii,977392,False
Corynorhinus townsendii,Chiroptera,Vespertilionidae,10.3,67.49,0.99,,254.0,,40.5,3.0,34.97,-102.12,Corynorhinus townsendii,842471,False
Coryphomys buehleri,Rodentia,Muridae,,,,,,,,,,,Coryphomys buehleri,3610917,False
Craseonycteris thonglongyai,Chiroptera,Craseonycteridae,1.96,,1.0,,,,,3.0,14.42,98.86,Craseonycteris thonglongyai,432482,False
Crateromys australis,Rodentia,Muridae,,,,,,,,,10.14,125.59,Crateromys australis,3608743,False
Crateromys heaneyi,Rodentia,Muridae,,,,,,,,,,,Crateromys heaneyi,631025,False
Crateromys paulus,Rodentia,Muridae,,,,,,,,,12.22,121.08,Crateromys paulus,3608745,False
Crateromys schadenbergi,Rodentia,Muridae,,,,,,,,,17.45,121.42,Crateromys schadenbergi,3608744,False
Cratogeomys castanops,Rodentia,Geomyidae,266.83,,2.34,,56.4,1001.77,,1.0,31.7,-102.34,Cratogeomys castanops,1024547,False
Cratogeomys fumosus,Rodentia,Geomyidae,150.0,,,,,,,1.0,19.23,-103.76,Cratogeomys fumosus,424317,False
Cratogeomys goldmani,Rodentia,Geomyidae,,,,,,,,,24.02,-102.32,Cratogeomys goldmani,798029,False
Cratogeomys gymnurus,Rodentia,Geomyidae,599.99,,,,,,,1.0,19.85,-102.21,Cratogeomys gymnurus,949956,False
Cratogeomys merriami,Rodentia,Geomyidae,419.99,,1.94,,,,,1.0,19.31,-98.29,Cratogeomys merriami,949953,False
Cratogeomys neglectus,Rodentia,Geomyidae,302.48,,1.94,,,,,1.0,21.05,-99.67,Cratogeomys neglectus,433075,False
Cratogeomys tylorhinus,Rodentia,Geomyidae,403.42,,1.94,,,,,1.0,20.17,-101.25,Cratogeomys tylorhinus,949949,False
Cratogeomys zinseri,Rodentia,Geomyidae,150.0,,,,,,,1.0,21.2,-101.95,Cratogeomys zinseri,187365,False
Cremnomys cutchicus,Rodentia,Muridae,,,5.23,,,,,,18.3,77.25,Cremnomys cutchicus,897146,False
Cremnomys elvira,Rodentia,Muridae,,,,,,,,,11.4,78.35,Cremnomys elvira,3608765,False
Cricetomys ansorgei,Rodentia,Nesomyidae,,,,,,,,,,,Cricetomys ansorgei,465268,False
Cricetomys emini,Rodentia,Nesomyidae,1280.0,,0.97,,,,,,1.58,10.98,Cricetomys emini,611277,False
Cricetomys gambianus,Rodentia,Nesomyidae,1267.52,31.45,3.11,,,,34.54,,,,Cricetomys gambianus,922511,False
Cricetomys kivuensis,Rodentia,Nesomyidae,,,,,,,,,,,Cricetomys kivuensis,3608528,False
Cricetulus alticola,Rodentia,Cricetidae,,,,,,,,,32.04,80.07,Cricetulus kamensis alticola,3608518,True
Crocidura tanakae,Soricomorpha,Soricidae,,,,,,,,,23.6,121.02,Crocidura tanakae,925010,False
Crocidura tansaniana,Soricomorpha,Soricidae,,,,,,,,,-4.35,38.17,Crocidura tansaniana,3614513,False
Crocidura tarella,Soricomorpha,Soricidae,,,,,,,,,1.55,32.44,Crocidura tarella,3614506,False
Crocidura tarfayensis,Soricomorpha,Soricidae,6.59,,,,,,,,22.68,-11.96,Crocidura tarfayensis,983288,False
Crocidura telfordi,Soricomorpha,Soricidae,,,,,,,,,-6.84,37.63,Crocidura telfordi,3614528,False
Crocidura tenuis,Soricomorpha,Soricidae,,,,,,,,,-9.35,125.37,Crocidura tenuis,3614543,False
