canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
eptesicus_matroka,Eptesicus matroka,Chiroptera,Vespertilionidae,Eptesicus,6.57,,1.22,,,3.0,
eptesicus_nasutus,Eptesicus nasutus,Chiroptera,Vespertilionidae,Eptesicus,7.91,,,,,,
eptesicus_nilssonii,Eptesicus nilssonii,Chiroptera,Vespertilionidae,Eptesicus,10.72,,1.5,26.0,,3.0,186.0
eptesicus_pachyotis,Eptesicus pachyotis,Chiroptera,Vespertilionidae,Eptesicus,8.1,,,,,,
eptesicus_serotinus,Eptesicus serotinus,Chiroptera,Vespertilionidae,Eptesicus,23.09,65.44,1.5,30.8,,3.0,72.0
equus_burchellii,Equus burchellii,Perissodactyla,Equidae,Equus,279160.65,371.2,1.0,294.11,127.99,1.0,480.0
equus_grevyi,Equus grevyi,Perissodactyla,Equidae,Equus,408000.35,406.0,1.0,271.7,,1.0,312.0
equus_hemionus,Equus hemionus,Perissodactyla,Equidae,Equus,235248.07,346.0,1.0,456.25,,1.0,465.6
equus_kiang,Equus kiang,Perissodactyla,Equidae,Equus,281138.63,260.76,,,,,
equus_zebra,Equus zebra,Perissodactyla,Equidae,Equus,282462.13,363.49,1.0,181.46,7.4,1.0,288.0
eremitalpa_granti,Eremitalpa granti,Afrosoricida,Chrysochloridae,Eremitalpa,22.04,,1.36,,0.03,2.0,24.0
erethizon_dorsatum,Erethizon dorsatum,Rodentia,Erethizontidae,Erethizon,7419.46,210.99,1.0,16.27,0.1,1.0,216.0
erinaceus_europaeus,Erinaceus europaeus,Erinaceomorpha,Erinaceidae,Erinaceus,777.95,36.98,4.64,40.0,0.08,2.0,168.0
erophylla_bombifrons,Erophylla bombifrons,Chiroptera,Phyllostomidae,Erophylla,16.28,,,,,1.0,
erophylla_sezekorni,Erophylla sezekorni,Chiroptera,Phyllostomidae,Erophylla,15.87,,1.0,,,,
erythrocebus_patas,Erythrocebus patas,Primates,Cercopithecidae,Erythrocebus,7966.3,167.2,1.01,211.79,28.24,2.0,286.8
euderma_maculatum,Euderma maculatum,Chiroptera,Vespertilionidae,Euderma,16.17,,1.0,,,3.0,
eudorcas_rufifrons,Eudorcas rufifrons,Artiodactyla,Bovidae,Eudorcas,26999.77,174.73,1.0,,,,162.0
eudorcas_thomsonii,Eudorcas thomsonii,Artiodactyla,Bovidae,Eudorcas,22907.43,166.14,1.0,93.25,,1.0,182.04
eulemur_albocollaris,Eulemur albocollaris,Primates,Lemuridae,Eulemur,2397.37,,,,,,
eulemur_coronatus,Eulemur coronatus,Primates,Lemuridae,Eulemur,1699.85,124.04,1.53,,0.05,2.0,220.8
eulemur_fulvus,Eulemur fulvus,Primates,Lemuridae,Eulemur,2376.99,120.83,1.1,134.64,0.05,1.0,444.0
eulemur_macaco,Eulemur macaco,Primates,Lemuridae,Eulemur,2470.43,127.49,1.04,143.28,0.03,2.0,360.0
eulemur_mongoz,Eulemur mongoz,Primates,Lemuridae,Eulemur,1771.13,129.0,1.11,151.13,0.05,2.0,360.0
eulemur_rubriventer,Eulemur rubriventer,Primates,Lemuridae,Eulemur,2015.4,126.99,1.01,151.22,0.13,2.0,
eulemur_rufus,Eulemur rufus,Primates,Lemuridae,Eulemur,2394.62,,,,,,
eulemur_sanfordi,Eulemur sanfordi,Primates,Lemuridae,Eulemur,2394.03,,,,,,
eumops_auripendulus,Eumops auripendulus,Chiroptera,Molossidae,Eumops,28.49,,0.98,,,,
eumops_bonariensis,Eumops bonariensis,Chiroptera,Molossidae,Eumops,12.22,,0.99,48.99,,3.0,
eumops_dabbenei,Eumops dabbenei,Chiroptera,Molossidae,Eumops,67.27,,,,,,
eumops_glaucinus,Eumops glaucinus,Chiroptera,Molossidae,Eumops,36.2,,1.04,38.49,,3.0,
eumops_hansae,Eumops hansae,Chiroptera,Molossidae,Eumops,15.47,,,,,,
eumops_perotis,Eumops perotis,Chiroptera,Molossidae,Eumops,50.97,,0.99,,,3.0,
eumops_underwoodi,Eumops underwoodi,Chiroptera,Molossidae,Eumops,58.67,,1.0,,,3.0,
euneomys_chinchilloides,Euneomys chinchilloides,Rodentia,Cricetidae,Euneomys,75.57,,,,,,
euneomys_mordax,Euneomys mordax,Rodentia,Cricetidae,Euneomys,81.99,,,,,,
euneomys_petersoni,Euneomys petersoni,Rodentia,Cricetidae,Euneomys,83.0,,,,,,
euoticus_elegantulus,Euoticus elegantulus,Primates,Galagidae,Euoticus,295.48,133.45,0.99,,,2.0,180.0
euoticus_pallidus,Euoticus pallidus,Primates,Galagidae,Euoticus,277.37,,,,,,
euphractus_sexcinctus,Euphractus sexcinctus,Cingulata,Dasypodidae,Euphractus,4731.16,64.66,1.73,28.0,0.65,2.0,225.96
